utime,device_time,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z
1350051493789986,1055427664,-0.0518485379870981,-0.007365321653196588,-0.016621894610580057,0.19798259437084198,-0.20341405272483826,0.19393299520015717,-1.3102697478141634,4.115840560938231,-8.886353858164512
1350051493799996,1055437664,-0.05663800402544439,-0.01493389718234539,-0.01245220482815057,0.19790731370449066,-0.20375534892082214,0.19418717920780182,-1.2633376633073203,4.113637187408749,-8.85747025697492
1350051493810006,1055447664,-0.05567133193835616,-0.015701513621024787,0.006751051842002198,0.19781199097633362,-0.20377300679683685,0.19273555278778076,-1.2803205358202103,4.150882648224942,-8.897299030548892
1350051493820016,1055457664,-0.05579337012022734,-0.02451165346428752,0.006181485514389351,0.1975131332874298,-0.20384278893470764,0.19272008538246155,-1.2831322916055796,4.2217746503162195,-8.906992960763164
1350051493830026,1055467664,-0.03049217921216041,-0.033016607630997896,0.01919552742037922,0.1981242597103119,-0.20407646894454956,0.19330130517482758,-1.3031961196335031,4.271009659736882,-8.882119727726094
1350051493840006,1055477664,-0.018650553829502314,-0.016968566342256963,-0.0040159553464036435,0.19800087809562683,-0.20421217381954193,0.19357971847057343,-1.3495162827870808,4.252392637550365,-8.896077927788719
1350051493850016,1055487664,-0.004562264803098515,-0.02158455754397437,0.0025257240849896334,0.19782096147537231,-0.20410776138305664,0.19277966022491455,-1.3771467010112246,4.184017276188824,-8.860829431209712
1350051493860002,1055497664,-0.003573871435946785,-0.02557014813646674,-0.006659985228907317,0.19803887605667114,-0.2040841430425644,0.1933409571647644,-1.3519292622129433,4.109186144550331,-8.849584691356867
1350051493870011,1055507664,-0.003140865737805143,-0.02544972230680287,-0.003129138349322602,0.19834022223949432,-0.20418375730514526,0.19308021664619446,-1.3325269029015907,4.0916075620334595,-8.806373910661787
1350051493880021,1055517664,-0.009182901703752577,-0.02111181674990803,-0.0006160310931591084,0.19813622534275055,-0.20462307333946228,0.1929788440465927,-1.2959425683086738,4.095541668345686,-8.792644952777772
1350051493890027,1055527664,-0.0159090239321813,-0.03439808206167072,-0.017756396846380085,0.19802604615688324,-0.20465953648090363,0.19556835293769836,-1.3025432132493004,4.1324135831417514,-8.79477571772877
1350051493900002,1055537664,-0.020252242393326014,-0.023315963335335255,-0.007518422353314236,0.19821123778820038,-0.20428207516670227,0.19268202781677246,-1.3155855862417956,4.11445049481932,-8.800820952709763
1350051493910012,1055547664,-0.03160266496706754,-0.026037267525680363,-0.004553276448859833,0.19819974899291992,-0.2040787935256958,0.19177037477493286,-1.3308002800383838,4.143391634882428,-8.82387029478792
1350051493920003,1055557664,-0.01564255653647706,-0.013517832849174738,0.008000079833436757,0.1980416625738144,-0.20455406606197357,0.1919635832309723,-1.3521929820498917,4.207358422554098,-8.79922904387582
1350051493930013,1055567664,0.01125371127272956,-0.0026998381144949235,0.013952059089206159,0.19829997420310974,-0.20485995709896088,0.1929534375667572,-1.37527714427968,4.22426845815964,-8.740113787888548
1350051493940019,1055577664,0.012843044532928616,0.014880830713082105,0.014013150939717889,0.19811022281646729,-0.20424973964691162,0.19264113903045654,-1.3879188001173315,4.206514975733589,-8.698196261874399
1350051493950018,1055587664,0.005183950634091161,0.035918509820476174,-0.008912142220651731,0.1982591599225998,-0.20487597584724426,0.19320590794086456,-1.4182474946818546,4.191867679161951,-8.705953963329083
1350051493959996,1055597664,0.014715341967530549,0.04740603035315871,-0.021833970095030963,0.19826185703277588,-0.20508819818496704,0.1927967220544815,-1.4204853458696742,4.172279802649282,-8.704640615708195
1350051493970003,1055607664,0.014397075574379414,0.04933568416163325,-0.027590969693847,0.19820332527160645,-0.20459207892417908,0.1923973113298416,-1.3527832121611572,4.119324859390035,-8.706003282363525
1350051493980002,1055617664,0.009628960106056184,0.05576809635385871,-0.03468162612989545,0.19795043766498566,-0.20461168885231018,0.1930277794599533,-1.2171211614576167,4.068806641758419,-8.746712492033838
1350051493990012,1055627664,-0.010115109762409702,0.030731642618775368,-0.05151125369593501,0.1977001279592514,-0.2047576606273651,0.19355759024620056,-1.0939002938498743,4.038580923511181,-8.784007728542202
1350051494000022,1055637664,-0.02525263698771596,-0.0016971394870779477,-0.040649742004461586,0.19782619178295135,-0.2045762836933136,0.19383831322193146,-1.0704008014179998,4.061798772290349,-8.842777751288375
1350051494010032,1055647664,-0.029786201776005328,-0.027317163767293096,-0.04137373180128634,0.19802282750606537,-0.20431622862815857,0.19217166304588318,-1.0967120496352436,4.125334931726101,-8.86628009783104
1350051494020042,1055657664,-0.03546787775121629,-0.044336600694805384,-0.018857659597415477,0.19798815250396729,-0.20418298244476318,0.1938904970884323,-1.14898680121114,4.163903786633163,-8.8641520728264
1350051494030052,1055667664,-0.020495821081567556,-0.04470298299565911,-0.009000537102110684,0.1980476975440979,-0.20463508367538452,0.1946026235818863,-1.247423255709582,4.179294521983247,-8.864110973631032
1350051494040036,1055677664,-0.00048626829993736465,-0.017046192078851163,-0.0016377987776650116,0.1980866640806198,-0.20489299297332764,0.19303885102272034,-1.3076212471659527,4.211608992670662,-8.80498567117378
1350051494049997,1055687664,0.010946836118819192,-0.0004488368176680524,-0.007946645928313956,0.19812247157096863,-0.20472413301467896,0.19263465702533722,-1.2908179553039372,4.142781996817793,-8.770350009263492
1350051494060007,1055697664,0.01783110201358795,0.008509924373356625,0.0037881021853536367,0.19819390773773193,-0.20434364676475525,0.19195932149887085,-1.2491928043990628,4.10856737333117,-8.764209789475425
1350051494070017,1055707664,0.020620826398953795,0.014777884643990546,0.009557629527989775,0.19841358065605164,-0.2043183147907257,0.19277651607990265,-1.1987611234065843,4.115014923769049,-8.779320593639277
1350051494080027,1055717664,0.01937181514222175,0.010341253801016137,0.005744492227677256,0.1982036978006363,-0.20424778759479523,0.1937597393989563,-1.1449437820311867,4.113432604747358,-8.762217848473227
1350051494090021,1055727664,-0.005112775397719815,-0.0037276149669196457,0.00043702857510652393,0.1980440467596054,-0.2044667899608612,0.1947084367275238,-1.1152320320549187,4.1225899621332065,-8.749809544733726
1350051494100031,1055737664,-0.007603437552461401,-0.008847731805872172,0.007020594057394192,0.19792260229587555,-0.20490148663520813,0.19414110481739044,-1.150277544274577,4.150275750106666,-8.770309823383577
1350051494110025,1055747664,-0.008863984839990735,-0.022702361457049847,0.02391425659880042,0.19801241159439087,-0.20497536659240723,0.19443213939666748,-1.1939562849747016,4.169580042171292,-8.80632641825825
1350051494120035,1055757664,-0.007889789412729442,-0.03590059059206396,0.021327257854864,0.19771118462085724,-0.2047465294599533,0.19521984457969666,-1.2312798342620954,4.127042831622529,-8.819437061580828
1350051494130045,1055767664,-0.004415297371451743,-0.03636122855823487,0.02864618436433375,0.19799555838108063,-0.20460541546344757,0.19337023794651031,-1.244136119231116,4.15733522189781,-8.77308356241323
1350051494140022,1055777664,-0.009958007285604253,-0.04844136710744351,0.02364483807468787,0.19811829924583435,-0.20468534529209137,0.19217097759246826,-1.2556485746760153,4.157118309477809,-8.770952797462233
1350051494150032,1055787664,-0.010569231380941346,-0.0470790546387434,0.0053723659220850095,0.19791798293590546,-0.20494912564754486,0.19328352808952332,-1.3067489167442545,4.140426099607721,-8.764529449883847
1350051494160016,1055797664,-0.007021801866358146,-0.04906231188215315,0.011944547441089526,0.19860070943832397,-0.20497441291809082,0.19252969324588776,-1.3697690529492683,4.1467256929422724,-8.757973671564832
1350051494170026,1055807664,-0.0047867066314211115,-0.0405087397666648,0.024209305411204696,0.19851909577846527,-0.20506423711776733,0.19281479716300964,-1.3832209337578387,4.194579312740825,-8.734980041729285
1350051494180017,1055817664,-0.0017764567019185051,-0.031929652323015034,0.024339959782082587,0.19817699491977692,-0.2054392397403717,0.19161106646060944,-1.388282642160775,4.1900182153703645,-8.724485133863054
1350051494190027,1055827664,-0.002582536581030581,-0.02084277366520837,0.02005413844017312,0.1983214020729065,-0.20558328926563263,0.1933424323797226,-1.4102982253109804,4.172745593530125,-8.748457837863825
1350051494200010,1055837664,-0.009018577839015052,-0.014087051386013627,0.03114575520157814,0.1984787881374359,-0.20506565272808075,0.19319692254066467,-1.3929331302811623,4.17927305907011,-8.730835416205228
1350051494210020,1055847664,-0.019605396664701402,-0.01869227271527052,0.015041390724945813,0.1983143538236618,-0.2054184526205063,0.1929367631673813,-1.3973635093774646,4.198367745238356,-8.737977543044835
1350051494220007,1055857664,-0.03893985704053193,-0.020572108041960746,0.009982722986023873,0.19823898375034332,-0.20563091337680817,0.19367530941963196,-1.403748726035701,4.231169926377479,-8.736220324113965
1350051494230017,1055867664,-0.023330497788265347,-0.027316040359437466,-0.02559451968409121,0.19836582243442535,-0.20549173653125763,0.19390827417373657,-1.382285470405477,4.2313594393339,-8.727888147239574
1350051494239991,1055877664,-0.03292487817816436,-0.04638541431631893,-0.026090117171406746,0.19886092841625214,-0.2054203301668167,0.19120334088802338,-1.3531862126046326,4.194297554923687,-8.727879014085046
1350051494250001,1055887664,-0.0418462761444971,-0.04408141248859465,-0.04047488037031144,0.19897854328155518,-0.20537644624710083,0.18972113728523254,-1.375867602719809,4.123911072935443,-8.687849311111494
1350051494260011,1055897664,-0.062010507099330425,-0.043247954454272985,-0.04449671250768006,0.19899967312812805,-0.20587103068828583,0.1909381002187729,-1.40451123027422,4.112498283039312,-8.713816696060821
1350051494270009,1055907664,-0.05719672190025449,-0.04049350682180375,-0.049511122051626444,0.19895361363887787,-0.2059212177991867,0.1902921497821808,-1.4113320984033635,4.129566778875887,-8.726331857708283
1350051494280006,1055917664,-0.05615695845335722,-0.023959457757882774,-0.03136597224511206,0.19908834993839264,-0.20594607293605804,0.19105863571166992,-1.4207798901031492,4.1100021919072605,-8.737856072089635
135005149429e4,1055927664,-0.05649948725476861,-0.01591924810782075,-0.033411968615837395,0.19930844008922577,-0.20600630342960358,0.19160982966423035,-1.3774461543152574,4.147147188023664,-8.768021968174725
1350051494300010,1055937664,-0.05059154937043786,-0.01332588290097192,-0.018945419287774712,0.19943022727966309,-0.2058292031288147,0.1912512183189392,-1.3476830303447787,4.124612499203067,-8.787358682937919
1350051494310020,1055947664,-0.03469846269581467,-0.023424111714120954,-0.017727083468344063,0.19951798021793365,-0.20594818890094757,0.19106826186180115,-1.330816719716531,4.138748339121229,-8.786626203944905
1350051494320030,1055957664,-0.04298880521673709,-0.023691565729677677,0.003232030212529935,0.19952502846717834,-0.20641398429870605,0.19032976031303406,-1.314111266772379,4.1291411738749595,-8.778552495343611
1350051494330029,1055967664,-0.033391002216376364,-0.01268009509658441,-0.012474640971049666,0.1990491896867752,-0.20637619495391846,0.1899828314781189,-1.293924026993918,4.139926516055129,-8.747743625179863
1350051494340020,1055977664,-0.04036433238070458,-0.009900426812237129,-0.013341504381969571,0.1991492062807083,-0.20674075186252594,0.19066408276557922,-1.2979371350927975,4.121142357140779,-8.744686758359894
1350051494350020,1055987664,-0.042622562614269555,-0.008494328358210623,-0.002587915150797926,0.19932498037815094,-0.20667746663093567,0.1914849430322647,-1.299773584139184,4.141237580387387,-8.769305176385679
1350051494360008,1055997664,-0.03738792147487402,-0.007594670751132071,0.007116093183867633,0.19947196543216705,-0.20694787800312042,0.19311563670635223,-1.340892301625572,4.176246331660077,-8.767152491863817
1350051494370018,1056007664,-0.022147786512505263,-0.0007582253147120355,-0.0031101295462576672,0.1992124319076538,-0.20718912780284882,0.19193027913570404,-1.32720250214159,4.207683562855236,-8.740189593071117
1350051494380028,1056017664,-0.028939961339347064,0.00488272744405549,0.004462400465854444,0.19928956031799316,-0.20693187415599823,0.19162310659885406,-1.336283826016006,4.239688876261934,-8.730126683413982
1350051494390006,1056027664,-0.03136218001600355,-0.0015049218745843973,0.004582502879202366,0.19938889145851135,-0.20691020786762238,0.19367191195487976,-1.3244824203947791,4.259226520424709,-8.743750610020943
1350051494400016,1056037664,-0.027242596843279898,0.002095648778777104,0.012547455844469368,0.19938725233078003,-0.2071697860956192,0.19244764745235443,-1.3286067246500168,4.311091878348961,-8.748884356180206
1350051494410014,1056047664,-0.013801228487864137,0.012296905333641917,0.015871993673499674,0.19925044476985931,-0.207490935921669,0.19006302952766418,-1.3524106936209135,4.307746860503684,-8.773750282693653
1350051494420011,1056057664,-0.015303980035241693,0.003619715425884351,0.009421214053872973,0.19932779669761658,-0.20727647840976715,0.18962284922599792,-1.3542361828818683,4.274761559616309,-8.780523430090398
1350051494430021,1056067664,-0.002352990304643754,0.0016562365999561734,0.013113791646901518,0.19919705390930176,-0.20694668591022491,0.19059722125530243,-1.3655517046822934,4.26789479738567,-8.768390034302138
1350051494439976,1056077664,-0.0049249349103774875,0.001147537386714248,0.010383321932749823,0.1992603987455368,-0.2076098769903183,0.1910705268383026,-1.3661254951154114,4.2537068984867075,-8.73011207036674
1350051494449986,1056087664,-0.009560676699038595,-0.006155607843538746,-0.0058597481256583706,0.1989908516407013,-0.20742502808570862,0.19104450941085815,-1.3546888448530807,4.246514082639478,-8.713180115190335
1350051494459996,1056097664,-0.01630645856494084,-0.010557194036664441,-0.007013994763838127,0.19895273447036743,-0.20746725797653198,0.19159197807312012,-1.3389121195598273,4.235690837868024,-8.690816673017107
1350051494470006,1056107664,-0.03589738626033068,-0.009940651943907142,-0.008543390867998824,0.19904828071594238,-0.20730635523796082,0.19361527264118195,-1.3256778361578472,4.245818592922296,-8.662285611592234
1350051494480016,1056117664,-0.036125569022260606,-0.00784013609518297,-0.009950625099008903,0.19903786480426788,-0.20757484436035156,0.19106972217559814,-1.3426939305203267,4.235862084515393,-8.680003018057905
1350051494490026,1056127664,-0.030046614119783044,0.006702956306980923,0.006701322854496539,0.19933049380779266,-0.20768345892429352,0.18947039544582367,-1.3528021634567995,4.247039239024743,-8.701441271677613
1350051494500036,1056137664,-0.032845427631400526,0.007118510256987065,0.023789267288520932,0.19959652423858643,-0.2077796757221222,0.19031640887260437,-1.3725498701736796,4.2807716319523745,-8.702682467377745
1350051494510046,1056147664,-0.026852465816773474,0.010812166874529794,0.0292747572530061,0.1995210200548172,-0.20790629088878632,0.19136376678943634,-1.3882098052534273,4.264110931465402,-8.67430027637165
1350051494520007,1056157664,-0.03134346043225378,0.020306880469433963,0.017669795488473028,0.19922760128974915,-0.2083144634962082,0.19088084995746613,-1.3787383815163048,4.260794226399157,-8.68245161678642
1350051494530017,1056167664,-0.028880732133984566,0.01868852268671617,0.009344667341792956,0.1991235911846161,-0.2082548290491104,0.18845832347869873,-1.3741207727522122,4.24530348300701,-8.701031193039379
1350051494540027,1056177664,-0.03416480903979391,-0.002566222428868059,0.0029213801099103875,0.19908961653709412,-0.2086368352174759,0.18832530081272125,-1.362103710519732,4.213608240196481,-8.703619529032148
1350051494550037,1056187664,-0.048197980504482985,-0.0015174298823694699,0.00461230956716463,0.19909852743148804,-0.2087138444185257,0.18933811783790588,-1.3851251964765834,4.2152640811121085,-8.735224810270592
1350051494560047,1056197664,-0.03751230542548001,-0.0030774055630899966,-0.005123859591549262,0.19949282705783844,-0.20866942405700684,0.19063028693199158,-1.3821722192893502,4.247778111225925,-8.709546033004298
1350051494570005,1056207664,-0.042081117862835526,-0.004569870361592621,-0.02303759683854878,0.19911013543605804,-0.20857317745685577,0.1915702521800995,-1.3646761776565108,4.197474979383405,-8.708578831939958
1350051494580015,1056217664,-0.05805380060337484,-0.003714475315064192,-0.026388681726530194,0.1988908052444458,-0.20868411660194397,0.1904868483543396,-1.3610237149969906,4.220769090002868,-8.716347493180074
1350051494590013,1056227664,-0.032482214737683535,-0.002032254451478366,-0.020298118761274964,0.19901321828365326,-0.20880739390850067,0.18906909227371216,-1.3231949880998581,4.247508226509671,-8.711925219758413
1350051494600023,1056237664,-0.042653706623241305,0.009035271068569273,-0.025580922374501824,0.19901102781295776,-0.20876659452915192,0.18890371918678284,-1.28024461647321,4.202550730011426,-8.717246195585467
1350051494610033,1056247664,-0.04025775124318898,0.006046685666660778,-0.002105864950863179,0.19915363192558289,-0.2091275155544281,0.1895439475774765,-1.2570448056742316,4.243882820820436,-8.742960592154413
1350051494620007,1056257664,-0.02560570719651878,0.014196620031725615,0.008939772669691592,0.1985912173986435,-0.20905548334121704,0.18924176692962646,-1.2597312089137267,4.268592570391483,-8.772910945792683
1350051494630017,1056267664,-0.026536578661762178,0.023448608408216387,0.035233257221989334,0.19855943322181702,-0.20917727053165436,0.19041846692562103,-1.276770478655817,4.324576067691669,-8.79178460962139
1350051494640014,1056277664,-0.010369971278123558,0.02564505848567933,0.04695489478763193,0.1988692283630371,-0.2093975841999054,0.1909095197916031,-1.317200784619781,4.35707457144279,-8.834589878255501
1350051494650024,1056287664,0.008370565774384886,0.025232144980691373,0.027932293596677482,0.1988801211118698,-0.20977358520030975,0.1910763829946518,-1.3258195142174372,4.367296397988684,-8.828842384112066
1350051494660019,1056297664,0.017112726345658302,0.016544088430237025,0.028491884586401284,0.19844309985637665,-0.20973581075668335,0.19013404846191406,-1.349729884438566,4.380578287958633,-8.830569463633001
1350051494670029,1056307664,0.03242354141548276,0.02298812905792147,0.014485565770883113,0.19810035824775696,-0.20981048047542572,0.18998919427394867,-1.357254690452828,4.343311364229303,-8.843472784347831
1350051494680017,1056317664,0.057084811851382256,0.023487629368901253,0.00432260858360678,0.19784685969352722,-0.20983067154884338,0.19053450226783752,-1.402133641822147,4.303621414604131,-8.815532638020812
1350051494690027,1056327664,0.0711255706846714,0.03399413253646344,0.005582089215749875,0.198051318526268,-0.20964869856834412,0.18970987200737,-1.392527161562466,4.2638013175269585,-8.779988227235153
1350051494700007,1056337664,0.08226765203289688,0.052724487613886595,-0.002026110450970009,0.19808457791805267,-0.20918141305446625,0.19006633758544922,-1.3694089783320669,4.211555107058957,-8.745104143521749
1350051494710017,1056347664,0.0842405017465353,0.04817206645384431,-0.007575274503324181,0.19809693098068237,-0.20921841263771057,0.19070087373256683,-1.3503169179457473,4.216038115958217,-8.74171939645428
1350051494719965,1056357664,0.08902982226572931,0.057287176605314016,0.010393453703727573,0.19800452888011932,-0.2093191295862198,0.18936613202095032,-1.3254780484025832,4.25603174297139,-8.750035133650526
1350051494729975,1056367664,0.1251600682735443,0.08972031064331532,0.013299172860570252,0.19808614253997803,-0.20868416130542755,0.1911497265100479,-1.3678162703471024,4.287633370948024,-8.818524659443646
1350051494739985,1056377664,0.1595469773747027,0.10441981721669436,0.0401688419515267,0.19783875346183777,-0.20878417789936066,0.192281574010849,-1.3260965912928804,4.2781042941729535,-8.864100927161052
1350051494749995,1056387664,0.19012332195416093,0.1325000310316682,0.043165675015188754,0.19735939800739288,-0.20857802033424377,0.19205717742443085,-1.3004631373059237,4.229577560885809,-8.880442880555055
1350051494760005,1056397664,0.22944086231291294,0.13454636791720986,0.031244594720192254,0.1970718502998352,-0.20777273178100586,0.19074460864067078,-1.2798452692915452,4.177951948267873,-8.912597977695986
1350051494770015,1056407664,0.23700471501797438,0.13575865887105465,0.03253768081776798,0.19638316333293915,-0.20745250582695007,0.1917475461959839,-1.130544450604939,4.154290228178724,-8.949629266038537
1350051494780025,1056417664,0.2511174650862813,0.12670450378209352,0.04971948801539838,0.19638031721115112,-0.20672455430030823,0.19409391283988953,-1.0844620919623411,4.14407707812963,-8.912785207363777
1350051494789982,1056427664,0.2599447965621948,0.09566866210661829,0.03426777257118374,0.19621063768863678,-0.20626582205295563,0.19614779949188232,-1.0724643235187976,4.1101985547295765,-8.912085607727057
1350051494799992,1056437664,0.2626174595206976,0.07908765110187232,0.029206174076534808,0.1957695633172989,-0.20558740198612213,0.1970302313566208,-1.0846772919158683,4.199044511988759,-8.88798869282473
1350051494810002,1056447664,0.28904364444315434,0.0810375320725143,0.01418901956640184,0.1955805867910385,-0.2051481157541275,0.19618582725524902,-1.1135342927929013,4.214344372451305,-8.861243163109757
1350051494820012,1056457664,0.289276079274714,0.0896713463589549,0.010792208195198327,0.1952740103006363,-0.20505362749099731,0.1956794410943985,-1.1350369351520202,4.033916621494573,-8.872284233616664
1350051494830022,1056467664,0.28981908690184355,0.09536301367916167,0.04632178170140833,0.1949889361858368,-0.20428884029388428,0.19457486271858215,-1.0851285839139018,3.967137278886512,-8.875365759953857
1350051494840032,1056477664,0.2806287491694093,0.08969756891019642,0.06833455990999937,0.1947166472673416,-0.2036401331424713,0.19490399956703186,-1.0406657618976896,3.8850877585681154,-8.91541007597465
1350051494850034,1056487664,0.2667056629434228,0.09335983777418733,0.09090182138606906,0.19475194811820984,-0.20299893617630005,0.19621862471103668,-0.9972833920619449,3.8678982484340665,-8.873901715283282
1350051494860037,1056497664,0.24488738272339106,0.0725330610293895,0.09125222568400204,0.19426321983337402,-0.20245829224586487,0.19589075446128845,-1.0161397028970531,3.9084686341555788,-8.849011129252611
1350051494870007,1056507664,0.21986961364746094,0.05991866928525269,0.09967564838007092,0.19368389248847961,-0.20249317586421967,0.19898147881031036,-1.074808119299123,3.922067444587592,-8.827845043637788
1350051494880017,1056517664,0.226924242451787,0.053067831322550774,0.08744847145862877,0.1934674084186554,-0.20247231423854828,0.19880875945091248,-1.1398627798393135,3.9397195489984003,-8.848077720860019
1350051494889990,1056527664,0.21512499079108238,0.07983152172528207,0.08675518911331892,0.19375690817832947,-0.2020251303911209,0.19887050986289978,-1.1552892486564814,3.9131475492194294,-8.88887278218288
13500514949e5,1056537664,0.21636132150888443,0.08940615807659924,0.07779686129651964,0.19383543729782104,-0.20163750648498535,0.19926071166992188,-1.0777325553784611,3.930462183570489,-8.869685851153918
1350051494909995,1056547664,0.20439063664525747,0.09243374806828797,0.06544314092025161,0.19344675540924072,-0.20128940045833588,0.20027399063110352,-0.9574038723981356,3.897067260702606,-8.90099613150116
1350051494920005,1056557664,0.20101512782275677,0.07111887680366635,0.06908749346621335,0.19270752370357513,-0.2008519470691681,0.20060893893241882,-0.8298847139414283,3.9278085455228573,-8.9729060236644
1350051494930015,1056567664,0.1992623321712017,0.02081672864733264,0.08062899578362703,0.19223295152187347,-0.20059794187545776,0.2012680023908615,-0.7837191294282092,3.919197807435412,-9.064722539433278
1350051494940021,1056577664,0.20992555655539036,0.002240927642560564,0.07085581892170012,0.19248583912849426,-0.20014847815036774,0.20226594805717468,-0.7790475208879797,3.877867999915033,-9.11403335403651
1350051494950031,1056587664,0.2093664836138487,-0.04667999455705285,0.07408925448544323,0.19259190559387207,-0.1994713693857193,0.20150020718574524,-0.8182991932603181,3.8277132818335664,-9.09706577955745
